20 20

0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1

0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0

0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1

0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0

0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0

0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0

0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0

0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0

0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0

0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0

1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1

0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
0	0	0	0	0	0	0	0	0	0	0	0	0	14	14	0	0	0	0	0

0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0

Map24.txt
